addr,contract_name,compiler,balance,tx_count,settings,date_verified
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208 (IDEX_1),Exchange,v0.4.16,"50,467.381888224067588696 Ether",2966324,,9/27/2017
0x06012c8cf97bead5deae237070f9587f8e7a266d (CryptoKittiesCore),KittyCore,v0.4.18,100.013829609770078892 Ether,2158277,,11/28/2017
0x03df4c372a29376d2c8df33a1b5f001cd8d68b0e,Bitcoinereum,v0.4.17,0 Ether,1451747,-,10/10/2017
0xb1690c08e213a35ed9bab7b318de14420fb57d8c (CryptoKittiesSalesAuction),SaleClockAuction,v0.4.18,5.336376714720911417 Ether,739916,,11/28/2017
0x1f0480a66883de97d2b054929252aae8f664c15c,NePay,v0.4.23,0.886271024399784524 Ether,647090,,5/12/2018
0x3495ffcee09012ab7d827abf3e3b3ae428a38443,BecToken,v0.4.23,0 Ether,423429,-,4/23/2018
0xc5d105e63711398af9bbff092d4b6769c82f793d (BeautyChainToken),BecToken,v0.4.19,0 Ether,421006,-,2/9/2018
0x275b69aa7c8c1d648a0557656bce1c286e69a29d,Enumivo,v0.4.19,0 Ether,304185,-,2/8/2018
0x57b116da40f21f91aec57329ecb763d29c1b2355,Goo,v0.4.21,106.352500678248659059 Ether,256923,,4/13/2018
0xb5a5f22694352c15b00323844ad545abb2b11028,IcxToken,v0.4.11,0 Ether,247671,,4/9/2018
0x041fe8DF8b4aaa868941EB877952f17baBe57dA5,NYBCoin,v0.4.18,0 Ether,232401,,2/13/2018
0xb3775fb83f7d12a36e0475abdd1fca35c091efbe,Hourglass,v0.4.20,"4,558.38017696249659374 Ether",215329,,2/25/2018
0xF0f8B0B8DBB1124261FC8d778E2287e3Fd2Cf4f5 (BitqyToken),bitqy,v0.4.8,0 Ether,202372,,10/17/2017
0xc5bbae50781be1669306b9e001eff57a2957b09d (GiftoToken),Gifto,v0.4.18,0 Ether,183337,,12/14/2017
0xD91E45416bfbBEc6e2D1ae4aC83b788A21Acf583 (Etheroll),Etheroll,v0.4.18,1.128963893249607532 Ether,176677,,10/25/2017
0xa701122c1b67220a8b6883d03c8ad67896b12466,BroFistCoin,v0.4.19,0 Ether,173464,-,2/19/2018
0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,NPXSToken,v0.4.20,0 Ether,170848,-,3/26/2018
0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f (CyberMilesToken),CyberMilesToken,v0.4.18,0 Ether,170626,,12/1/2017
0xb6ed7644c69416d67b522e20bc294a9a9b405b31 (0xbitcoin),_0xBitcoinToken,v0.4.19,0 Ether,168854,-,2/6/2018
0x8f8221afbb33998d8584a2b05749ba73c37a938a (RequestToken),RequestToken,v0.4.15,0 Ether,166506,,10/7/2017
0x5121e348e897daef1eef23959ab290e5557cf274,PolyAi,v0.4.14,0 Ether,158556,,10/3/2017
0x4092678e4E78230F46A1534C0fbc8fA39780892B (OdysseyCoin),OCoin,v0.4.18,0 Ether,156359,-,1/23/2018
0x6ea6531b603f270d23d9edd2d8279135dc5d6773,InsurChainCoin,v0.4.13,0 Ether,153096,-,1/13/2018
0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,eosDACToken,v0.4.18,0 Ether,150524,-,3/3/2018
0x14fbca95be7e99c15cc2996c6c9d841e54b79425,MatchingMarket,v0.4.19,0 Ether,146976,,12/18/2017
0xea5ab833aff71bd7d280f0a0bc86423d1703288a,Issuer,v0.4.8,0 Ether,145531,,3/17/2018
0xba51ff3802aa3170ce7ac7ac001831ca3eb6eeea (LinoToken),LinoToken,v0.4.20,0 Ether,141390,-,2/10/2018
0x9f89388141c632c4c6f36d1060d5f50604ee3abc,CATCrowdsale,v0.4.18,0 Ether,132473,,11/22/2017
