addr,contract_name,compiler,balance,tx_count,settings,date_verified
0xd6df5935cd03a768b7b9e92637a01b25e24cb709,Bitgram,v0.4.20,0 Ether,132271,-,4/13/2018
0x2eb86e8fc520e0f6bb5d9af08f924fe70558ab89,TokenERC20,v0.4.15,0 Ether,131858,,11/8/2017
0x048717ea892f23fb0126f00640e2b18072efd9d2,Etheroll,v0.4.18,"5,369.647686853230091035 Ether",129920,,3/27/2018
0x4672bad527107471cb5067a887f4656d585a8a31,DropToken,v0.4.20,0 Ether,128367,,1/20/2018
0x4ccc3759eb48faf1c6cfadad2619e7038db6b212,SuperEdge,v0.4.25,0.35692950385459456 Ether,128313,-,5/23/2018
0x61f33Da40594cEc1E3Dc900FaF99F861D01e2e7D,CybereitsToken,v0.4.19,0 Ether,126369,,1/11/2018
0xb68042de5b3da08a80c20d29aefab999d0848385,IDAGToken,v0.4.23,0.11833683712001341 Ether,125484,-,6/2/2018
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27 (ZilliqaToken),ZilliqaToken,v0.4.18,0 Ether,124505,,1/12/2018
0x6d5cac36c1ae39f41d52393b7a425d0a610ad9f2 (LLToken),LLToken,v0.4.15,0 Ether,124344,,9/26/2017
0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d (QuantstampToken),QuantstampToken,v0.4.18,0 Ether,124190,,11/17/2017
0x8bbf4dd0f11b3a535660fd7fcb7158daebd3a17e (EthGas_Old),EGAS,v0.4.16,0 Ether,123403,,10/28/2017
0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab (IOSToken),IOSToken,v0.4.19,0 Ether,122628,-,1/11/2018
0x219218f117dc9348b358b8471c55a073e5e0da0b (GoldRewardToken),GRX,v0.4.16,180.464474631096316323 Ether,121658,-,11/15/2017
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,Dragon,v0.4.18,0 Ether,120404,-,12/6/2017
0x358d12436080a01a16f711014610f8a4c2c2d233 (PundiXToken),PundiXToken,v0.4.17,0 Ether,120148,-,3/2/2018
0x32776933663b27ebcda98b07c4958ec74c0bafb1,EDD,v0.4.23,0.7223962801111 Ether,119667,-,5/14/2018
0x8713d26637cf49e1b6b4a7ce57106aabc9325343,CNNToken,v0.4.18,0 Ether,116057,-,3/4/2018
0x355a458d555151d3b27f94227960ade1504e526a,TokenERC20,v0.4.20,0 Ether,111604,-,3/21/2018
0x09678741bd50c3e74301f38fbd0136307099ae5d,LocalEthereumEscrows,v0.4.18,23.22467879825486365 Ether,111591,,10/21/2017
0x4cc29dd2b01a3e0ed005c6e2deb5b3666e4c240c,QMQCoin,v0.4.18,0.341839007294306133 Ether,110567,,5/9/2018
0x53066cddbc0099eb6c96785d9b3df2aaeede5da3,PNTToken,v0.4.20,0 Ether,110172,-,2/26/2018
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH9,v0.4.19,"256,801.727519862839451109 Ether",109937,-,12/12/2017
0x514910771af9ca656af840dff83e8264ecf986ca (ChainLinkToken),LinkToken,v0.4.16,0 Ether,106567,,9/23/2017
0x0651842ee1f973367138cd512709d81bf8a62217,TrackChain,v0.4.24,0.5904324190944551 Ether,104362,-,5/21/2018
0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131 (NAGA Coin),NAGACoin,v0.4.18,0 Ether,103447,-,12/11/2017
0x286bda1413a2df81731d4930ce2f862a35a609fe (WaBiToken),WaBi,v0.4.18,0 Ether,101204,,11/30/2017
0xd780ae2bf04cd96e577d3d014762f831d97129d0 (EnvionToken),EVNToken,v0.4.15,"12,284.670957359648584628 Ether",97421,,12/14/2017
0xbab165df9455aa0f2aed1f2565520b91ddadb4c8,EKT,v0.4.20,0 Ether,95855,,12/23/2017
0x88d50b466be55222019d71f9e8fae17f5f45fca1,CryptaurToken,v0.4.17,0 Ether,95436,,1/18/2018
0x9b4e2b4b13d125238aa0480dd42b4f6fc71b37cc,ERC20Token,v0.4.20,0 Ether,92486,-,3/11/2018
0xf7920b0768ecb20a123fac32311d07d193381d6f,TNBToken,v0.4.15,0 Ether,92137,,11/22/2017
0x228ba514309ffdf03a81a205a6d040e429d6e80c,GSCToken,v0.4.20,0 Ether,90518,-,2/24/2018
0x0bb04400fae60dc378143a12bf771927e39adf6e,Issuer,v0.4.8,0 Ether,90067,,2/20/2018
0xc6725ae749677f21e4d8f85f41cfb6de49b9db29,BancorConverter,v0.4.18,0 Ether,88910,,4/17/2018
0x74fd51a98a4a1ecbef8cc43be801cce630e260bd,SiaCashCoin,v0.4.25,0.315131749283898299 Ether,86857,,5/23/2018
0x23a3db04432123ccdf6ef4459684329cc7c0b022,casinoProxy,v0.4.17,0 Ether,86005,,9/26/2017
0x7d2624470429a4fa48f09206238749fbbb45eaa8,Academicon,v0.4.21,0.00010002 Ether,83951,-,3/28/2018
0xdf6164efd12678bf6a7d5a1ddf73c831493f6574,EtheremonBattle,v0.4.19,6.74 Ether,80530,,2/7/2018
0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4 (EnigmaToken),EnigmaToken,v0.4.13,0 Ether,80504,,10/13/2017
0x23352036e911a22cfc692b5e2e196692658aded9 (FriendzCoin),FriendzToken,v0.4.19,0 Ether,80177,,2/16/2018
0x809826cceab68c387726af962713b64cb5cb3cca,NucleusVisionToken,v0.4.19,0 Ether,79994,,2/25/2018
0x27695e09149adc738a978e9a678f99e4c39e9eb9 (KickCoin),CSToken,v0.4.16,0 Ether,79822,,9/25/2017
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c (EnjinCoin),ENJToken,v0.4.15,0 Ether,79577,,10/3/2017
0x4CF488387F035FF08c371515562CBa712f9015d4 (WePowerToken),WPR,v0.4.18,0 Ether,78040,-,1/29/2018
0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6 (QashToken),QASHToken,v0.4.16,0 Ether,76774,,10/10/2017
0xbf2179859fc6d5bee9bf9158632dc51678a4100e (AElfToken),AElfToken,v0.4.18,0 Ether,76401,-,12/18/2017
0x4ceda7906a5ed2179785cd3a40a69ee8bc99c466,Token,v0.4.17,0 Ether,76368,,10/11/2017
0x5136c98a80811c3f46bdda8b5c4555cfd9f812f0 (IndaHashToken),IndaHashToken,v0.4.16,0 Ether,73289,,11/8/2017
0xE5a04D98538231b0fAb9ABa60cd73cE4fF3039DF (EtherFlip),EtherFlip,v0.4.11,735.710854854762721513 Ether,73126,,10/4/2017
0x3f9c0a5773817ffaa5a1061e1e33c1d9c8888dff,Noblebit,v0.4.21,0.060212618247609249 Ether,71545,-,3/31/2018
0xe25bcec5d3801ce3a794079bf94adf1b8ccd802d,MANToken,v0.4.18,0 Ether,70792,,5/5/2018
0x58d0A58E4B165a27E4e1B8C2A3eF39C89b581180,ShowCoinToken,v0.4.16,0 Ether,70061,,4/27/2018
0x6f259637dcd74c767781e37bc6133cd6a68aa161,HBToken,v0.4.19,0 Ether,68824,,2/27/2018
0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8 (EverexToken),EVXToken,v0.4.15,0 Ether,68437,,9/29/2017
0xc8ffd394421e09cb48b620dda56168171ca35ab7,etherecash,v0.4.18,0 Ether,68433,-,12/14/2017
0x46b9ad944d1059450da1163511069c718f699d31 (CreditsToken),CREDITS,v0.4.19,0 Ether,67191,-,2/10/2018
0xf6b6aa0ef0f5edc2c1c5d925477f97eaf66303e7,GoingGems,v0.4.21,0.096718569466193997 Ether,66948,,3/26/2018
0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38 (UtrustToken),UtrustToken,v0.4.18,0 Ether,66144,,12/26/2017
0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6 (RaidenToken),RaidenToken,v0.4.17,0 Ether,65243,,10/18/2017
0x6f6deb5db0c4994a8283a01d6cfeeb27fc3bbe9c (SmartBillionsToken),SmartBillions,v0.4.17,"1,144.262922389919284115 Ether",65236,,10/9/2017
0x39bb259f66e1c59d5abef88375979b4d20d98022 (WAXtoken),WaxToken,v0.4.13,0 Ether,65013,,12/30/2017
0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6 (RipioCreditNetworkToken),RCNToken,v0.4.15,0 Ether,63623,,10/24/2017
0xb98d4c97425d9908e66e53a6fdf673acca0be986 (ArcBlockToken),ArcBlockToken,v0.4.19,0 Ether,62998,-,1/12/2018
0x51c6a6ef1352578ff01b078313e6779b88bdcb1e,DMINT,v0.4.19,0 Ether,61794,,3/15/2018
0x58aff91f5b48245bd83deeb2c7d31875f68b3f0d,ShrimpFarmer,v0.4.24,0.161344299456446204 Ether,60717,-,5/15/2018
0x05c7065d644096a4e4c3fe24af86e36de021074b (LendConnectToken),LendConnect,v0.4.18,0 Ether,58908,,11/21/2017
0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec (PolymathToken),PolyToken,v0.4.18,0 Ether,58876,,1/29/2018
0xf3db7560e820834658b590c96234c333cd3d5e5e,CoinPokerToken,v0.4.19,0 Ether,58749,,2/1/2018
0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab,Token,v0.4.18,0 Ether,58332,-,2/28/2018
0x62caf75a67252f7be236a7335fed1410c7434b7f (BeeTokenSale),BeeTokenOffering,v0.4.19,0 Ether,58061,,1/31/2018
0x9064c91e51d7021a85ad96817e1432abf6624470,TokenERC20,v0.4.19,0 Ether,57119,-,1/10/2018
0xd6d62024d82b5bf4fe4a9e214991743d543f1673,SimpleLife,v0.4.19,0.005304755260623001 Ether,56854,,5/18/2018
0xc81774fd1b51bc7e26b2bad562dcdb0a2cbebaf2,Free,v0.4.23,0.056196008862122521 Ether,56774,-,5/13/2018
0x922105fad8153f516bcfb829f56dc097a0e1d705,YEEToken,v0.4.19,0 Ether,56621,-,1/10/2018
0x27054b13b1b798b345b591a4d22e6562d47ea75a (AirSwapToken),AirSwapToken,v0.4.17,0 Ether,56006,,10/10/2017
0x127cae460d6e8d039f1371f54548190efe73e756 (ShiftCashExtraBonusToken),ShiftCashExtraBonus,v0.4.19,0 Ether,55613,-,1/23/2018
0x5ecd84482176db90bb741ddc8c2f9ccc290e29ce,BTL,v0.4.19,0 Ether,55514,,1/7/2018
0xc7af99fe5513eb6710e6d5f44f9989da40f27f26 (CryptoKittiesSiringAuction),SiringClockAuction,v0.4.18,0.169384695160475116 Ether,54885,,11/28/2017
0xf3dd3acf1662a564e15d7569fd80c105596e8846 (AlphaProtocolToken),ALP,v0.4.18,0 Ether,54696,-,2/18/2018
0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139 (ATMChainToken),ATMToken,v0.4.16,0 Ether,54561,-,9/19/2017
0x342156c8d3ba54abc67920d35ba1d1e67201ac9c,Elsevier,v0.4.24,0.11647387761324253 Ether,54436,-,5/27/2018
0x85e076361cc813a908ff672f9bad1541474402b2 (Telcoin),Telcoin,v0.4.18,0 Ether,54309,,12/11/2017
0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25 (SIRIN),SirinSmartToken,v0.4.18,0 Ether,54143,,12/12/2017
0xc44948cbbaf37a4d7f1315c08972b4338080bf59,CustomToken,v0.4.19,6.201551120000000003 Ether,53969,,5/24/2018
0xcdb7ecfd3403eef3882c65b761ef9b5054890a47 (HurifyToken),Hurify,v0.4.18,0 Ether,53830,,1/4/2018
0xe34e1944e776f39b9252790a0527ebda647ae668,SaleToken,v0.4.19,0 Ether,52976,,5/2/2018
0xf3586684107ce0859c44aa2b2e0fb8cd8731a15a,KaratBankCoin,v0.4.22,0 Ether,52677,,5/28/2018
0x80a7e048f37a50500351c204cb407766fa3bae7f (CrypteriumToken),CrypteriumToken,v0.4.16,0 Ether,52494,,11/7/2017
0xd2f81cd7a20d60c0d558496c7169a20968389b40,EtherbotsCore,v0.4.20,0 Ether,52232,,3/4/2018
0xb626a5facc4de1c813f5293ec3be31979f1d1c78,BancorConverter,v0.4.16,0 Ether,52005,,10/22/2017
0x1844b21593262668b7248d0f57a220caaba46ab9 (OysterPearlToken),OysterPearl,v0.4.18,0 Ether,51887,,10/20/2017
0x0cfda67b0067f1a99deb1cb80e0273a3f26d317c,TrekChain,v0.4.23,0.019810934602032345 Ether,51363,,5/31/2018
0xC8058D59e208399B76E66Da1EC669dD6B1BeE2ea,GOLDBITSCOIN,v0.4.18,0 Ether,51041,-,1/28/2018
0xb91318f35bdb262e9423bc7c7c2a3a93dd93c92c (NulsStandardToken),NulsStandardToken,v0.4.13,0 Ether,50775,,9/27/2017
0x111111f7e9b1fe072ade438f77e1ce861c7ee4e3 (ConsumerActivityToken [Old]),CAToken,v0.4.18,0 Ether,50373,-,11/8/2017
0x9d9223436ddd466fc247e9dbbd20207e640fef58,Token,v0.4.18,0 Ether,49935,-,3/17/2018
0xe57cf6e88505f36954e7c8e6ca9d6b645d030375,Exera,v0.4.19,0.016624800011100011 Ether,49460,-,4/20/2018
0x8d4b2cffe2dcbbf06eaa5920401db86ca5fb8177,SelfKeyCrowdsale,v0.4.19,0 Ether,49446,,2/8/2018
0x5b2e4a700dfbc560061e957edec8f6eeeb74a320 (INSToken),INSToken,v0.4.18,0 Ether,49356,-,11/12/2017
0x26e75307fc0c021472feb8f727839531f112f317 (Crypto20Token),C20,v0.4.11,738.81390494266077713 Ether,48695,,10/13/2017
0x8eb24319393716668d768dcec29356ae9cffe285 (SingularityNetToken),SingularityNetToken,v0.4.18,0 Ether,48271,-,12/20/2017
0x2bf91c18cd4ae9c2f2858ef9fe518180f7b5096d,_KiwiToken,v0.4.18,0 Ether,48123,-,5/6/2018
0x58a4884182d9e835597f405e5f258290e46ae7c2,NoahCoin,v0.4.18,0 Ether,48095,-,10/20/2017
0x72adadb447784dd7ab1f472467750fc485e4cb2d (WorldcoreToken),WorldcoreToken,v0.4.11,0 Ether,48085,,10/11/2017
0x5c3a228510d246b78a3765c20221cbf3082b44a4,STQToken,v0.4.15,0 Ether,47319,,10/3/2017
0x8b1f49491477e0fb46a29fef53f1ea320d13c349,MicroMoney,v0.4.11,0 Ether,46975,,10/23/2017
0x4f878c0852722b0976a955d68b376e4cd4ae99e5,WaykiCoin,v0.4.18,0 Ether,46948,-,6/6/2018
0x69b148395ce0015c13e36bffbad63f49ef874e03,DataToken,v0.4.18,0 Ether,46421,,2/9/2018
0x13f25cd52b21650caa8225c9942337d914c9b030,TokenERC20,v0.4.18,0 Ether,46349,,1/3/2018
0xdc30a5baf62f3ce8d7e74a272bc139fbb7a0cab4,OF,v0.4.23,0.056170020001 Ether,46163,-,6/3/2018
0xf7dca20054469a1d548b20859a100b9ec6ff1f61,BitcoinEOS,v0.4.19,0 Ether,46057,-,2/14/2018
0x65292eeadf1426cd2df1c4793a3d7519f253913b (CossToken),COSSToken,v0.4.16,0 Ether,45564,-,9/20/2017
0x08b67e38b4ecc788eb0cfbab72074c374ecddbf3,Bitlike,v0.4.20,0.0030011 Ether,44975,-,5/9/2018
0x2C4e8f2D746113d0696cE89B35F0d8bF88E0AEcA (SimpleToken),SimpleToken,v0.4.18,0 Ether,44711,,11/12/2017
0x29880855d419c6fa0e8c7fdfd985c80f286d914e,DadiPublicSale,v0.4.18,0 Ether,44132,,1/29/2018
0xa37adde3ba20a396338364e2ddb5e0897d11a91d,WFee,v0.4.21,0 Ether,43841,-,2/16/2018
0x4212fea9fec90236ecc51e41e2096b16ceb84555,SixDomainAsset,v0.4.20,0 Ether,43657,,12/10/2017
0xAD640689e6950b7453729A4686edB3FdfD754616,CICToken,v0.4.18,0 Ether,43621,,4/27/2018
0x55F93985431Fc9304077687a35A1BA103dC1e081 (SmartMeshICO),SMT,v0.4.18,0 Ether,42906,-,12/9/2017
0x36905fc93280f52362a1cbab151f25dc46742fb5 (BottosToken),BTOToken,v0.4.11,0 Ether,42482,,12/26/2017
0x13c2fab6354d3790d8ece4f0f1a3280b4a25ad96,PhiToken,v0.4.19,0 Ether,42344,,2/28/2018
0x957c30aB0426e0C93CD8241E2c60392d08c6aC8e,ModumToken,v0.4.18,0 Ether,42316,,10/20/2017
0x39e505e1518813ab3834d57d06c22b2e5a7fb9f2,EthereumWhite,v0.4.18,0 Ether,42053,-,10/30/2017
0xc42209accc14029c1012fb5680d95fbd6036e2a0 (PayPieToken),Token,v0.4.17,0 Ether,42038,-,10/8/2017
0xba9d4199fab4f26efe3551d490e3821486f135ba,SwissBorgToken,v0.4.11,0 Ether,40395,,11/15/2017
0x89dd662cc0651a6f3631a617724525f2ff373b1e,Contribution,v0.4.18,0 Ether,40313,,1/29/2018
0xE769D988CedA1559aeE07963e59e62bd730dbBa6,WisePlat,v0.4.16,0 Ether,40253,,10/21/2017
0x2e954cfc5cb4f089f5f3d7331449861249106d85,WithCoin,v0.4.24,0 Ether,40234,-,5/15/2018
0xa6a840e50bcaa50da017b91a0d86b8b2d41156ee,EchoLinkToken,v0.4.18,0 Ether,40132,,11/15/2017
0x1234567461d3f8db7496581774bd869c83d51c93 (BitClave),CAToken,v0.4.19,0 Ether,40109,,12/25/2017
0x5732046a883704404f284ce41ffadd5b007fd668,BluzelleToken,v0.4.19,0 Ether,39869,,1/18/2018
0x10dc623fcb8a3c151875f03d442103cbf6469be6,DeBiToken,v0.4.21,0 Ether,39556,,4/13/2018
0xddf0d0b9914d530e0b743808249d9af901f1bd01,Etheroll,v0.4.19,2.329411764705882352 Ether,39283,,3/3/2018
0x92e52a1a235d9a103d970901066ce910aacefd37 (UcashToken),UCASH,v0.4.16,0 Ether,39151,-,1/7/2018
0x141766882733cafa9033e8707548fdcac908db22,DungeonCoreBeta,v0.4.19,0.006 Ether,39115,,2/7/2018
0x6531f133e6deebe7f2dce5a0441aa7ef330b4e53 (TimeToken),ChronoBankAssetProxy,v0.4.8,0 Ether,38674,,3/6/2018
0xa98ad92a642570b83b369c4eb70efefe638bc895,Fishbank,v0.4.21,0.06 Ether,38091,,3/18/2018
0xB96eB33E4a1a9ea3B8581aBC8185F9597E45E8AA,HeroChainToken,v0.4.19,0 Ether,37950,,1/25/2018
0x1d462414fe14cf489c7A21CaC78509f4bF8CD7c0 (CanYaCoin),CanYaCoin,v0.4.15,0 Ether,37892,,10/3/2017
0x9F138D5D9e24186eC96B35e5B5530C907860A78d,BcbCoin,v0.4.20,0.00251 Ether,37227,,1/12/2018
0x3ad2bfea535bf1673f22de61b19f758a2dd0efff,Etheroll,v0.4.18,1 Ether,37135,,2/15/2018
0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,BMC,v0.4.18,0.01311 Ether,37091,,12/26/2017
0x584b44853680ee34a0f337b712a8f66d816df151 (AI Doctor Token),AidocToken,v0.4.19,0 Ether,36949,-,12/17/2017
0xfe5F141Bf94fE84bC28deD0AB966c16B17490657,LibraToken,v0.4.21,0 Ether,36797,-,4/12/2018
0xb70835d7822ebb9426b56543e391846c107bd32c (GameICO),GameICO,v0.4.17,0 Ether,36751,,9/29/2017
0xd77bcd9cf4212a41defbcd2e2ff0f50fea2be643,GA_chain,v0.4.20,0 Ether,36255,-,4/19/2018
0xbe428c3867f05dea2a89fc76a102b544eac7f772,CyberVeinToken,v0.4.18,0 Ether,36074,,3/4/2018
0xc6689eb9a6d724b8d7b1d923ffd65b7005da1b62,SEC,v0.4.18,0 Ether,35755,,3/14/2018
0xFF603F43946A3A28DF5E6A73172555D8C8b02386,HumanStandardToken,v0.4.13,0 Ether,35731,-,11/28/2017
0x9bbb9387c9e2477a6b5d81afece00255875c48ce,InkPublicPresale,v0.4.18,0 Ether,35618,,1/19/2018
0x4dcadd9adfd450c2ef997bb71888c2995e2d33a0,TokenERC20,v0.4.19,0 Ether,35557,-,1/22/2018
0xc0e0c1dba795bfe7c4aa302a189423460cca57ad,ADPay,v0.4.23,0 Ether,35421,-,5/3/2018
0xF244176246168F24e3187f7288EdbCA29267739b,Havven,v0.4.21,0 Ether,35094,,3/14/2018
0xffe02ee4c69edf1b340fcad64fbd6b37a7b9e265,NANJCOIN,v0.4.18,0 Ether,35044,,2/5/2018
0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66 (CarTaxiToken),CarTaxiToken,v0.4.17,0 Ether,34942,,9/26/2017
0x6c2adc2073994fb2ccc5032cc2906fa221e9b391,DelphyToken,v0.4.13,0 Ether,34758,,4/25/2018
0x7Ed172530F9822cd0573B895853E3f745f4108B4,Hadescoin,v0.4.20,0.01192102 Ether,34303,,5/27/2018
0x04f2e7221fdb1b52a68169b25793e51478ff0329 (CappasityToken),Cappasity,v0.4.18,0 Ether,34243,,11/30/2017
0x336db6c1ead9cc4d5b0a33ac03c057e20640126a,EtherTanksCore,v0.4.20,26.43733000001 Ether,34113,-,12/30/2017
0xAE66d00496Aaa25418f829140BB259163c06986E (SuperWalletToken),SuperWalletToken,v0.4.19,0 Ether,34092,-,1/10/2018
0x38c6A68304cdEfb9BEc48BbFaABA5C5B47818bb2 (HPBCoin),HPBToken,v0.4.17,0 Ether,34045,,11/15/2017
0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f (OriginTrailTraceToken),TracToken,v0.4.18,0 Ether,33847,,1/24/2018
0x1961b3331969ed52770751fc718ef530838b6dee (BitDegreeToken),BitDegreeToken,v0.4.18,0 Ether,33697,,11/30/2017
0x107c4504cd79c5d2696ea0030a8dd4e92601b82e (BloomToken),BLT,v0.4.15,0 Ether,33523,,11/29/2017
0xbb5ed1edeb5149af3ab43ea9c7a6963b3c1374f7 (CryptoCelebrities),CelebrityToken,v0.4.18,1.443937659680017311 Ether,33388,,1/20/2018
0x13f1b7fdfbe1fc66676d56483e21b1ecb40b58e2 (AcceleratorToken),Accelerator,v0.4.15,0 Ether,33332,,10/6/2017
0x80bc5512561c7f85a3a9508c7df7901b370fa1df (TradeToken),TIOToken,v0.4.15,0 Ether,33249,,10/25/2017
0x448a5065aebb8e423f0896e6c5d525c040f59af3,SaiTub,v0.4.19,0 Ether,33238,,12/18/2017
0xab95e915c123fded5bdfb6325e35ef5515f1ea69 (XenonToken),Xenon,v0.4.15,0 Ether,33038,,9/26/2017
0xf44745fbd41f6a1ba151df190db0564c5fcc4410 (CopytrackToken),Token,v0.4.18,0 Ether,32926,,12/19/2017
0xe7D3e4413E29ae35B0893140F4500965c74365e5,B2BCoinContract,v0.4.21,0 Ether,32707,-,3/19/2018
0xd01db73e047855efb414e6202098c4be4cd2423b (UquidCoin),Uquidcoin,v0.4.16,0 Ether,32610,,10/2/2017
0x6FF73eE2255c30e072d35598f9b06795122d4e64,DigitalEnthusiasts,v0.4.18,0 Ether,32589,,2/22/2018
0xdfb410994b66778bd6cc2c82e8ffe4f7b2870006,KinguinKrowns,v0.4.19,0 Ether,32517,-,3/30/2018
0x5f53f7a8075614b699baad0bc2c899f4bad8fbbf (RebelliousToken),Rebellious,v0.4.16,0 Ether,32437,,11/4/2017
0x357af180d6822ebcdc269ea147cd3d36ed971596,TokenERC20,v0.4.19,0 Ether,32360,,3/19/2018
0x9af839687f6c94542ac5ece2e317daae355493a1 (HydroProtocolToken),HydroToken,v0.4.18,0 Ether,32057,-,1/15/2018
0xEda8B016efA8b1161208Cf041cD86972eeE0F31E,CrowdsaleToken,v0.4.19,0 Ether,32008,,3/16/2018
0xf04436b2edaa1b777045e1eefc6dba8bd2aebab8 (CopytrackTokenSale),TokenSale,v0.4.18,0 Ether,31981,,12/19/2017
0xc7bba5b765581efb2cdd2679db5bea9ee79b201f (GemsToken),GemsToken,v0.4.18,0 Ether,31629,-,2/16/2018
0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5 (VIUToken),VIUToken,v0.4.18,0 Ether,31383,-,11/2/2017
0x1c4481750daa5ff521a2a7490d9981ed46465dbd (CreditProtocolToken),CPToken,v0.4.15,0 Ether,31327,,9/30/2017
0xA4d17AB1eE0efDD23edc2869E7BA96B89eEcf9AB,TRUEToken,v0.4.16,0 Ether,31251,,3/3/2018
0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb (BaxToken),BaxToken,v0.4.19,0 Ether,30952,,2/5/2018
0xced4e93198734ddaff8492d525bd258d49eb388e (EidooToken),EidooToken,v0.4.17,0 Ether,30859,,10/2/2017
