# ETH Ext Tx,24126464
# Extracted Tx,24126464
# Extracted days,641
% Ponzi,0.06%
# Ponzi,152
# In Tx,14359
# Out Tx,8489
In ETH,"43,531.65"
Out ETH,"42,947.85"
In USD$,"445,634.42"
Out USD$,"461,715.69"
Paying,2279
Paid,1176
Avg Lifetime (#Tx>0),152
Median Lifetime (#Tx>0),64
Avg Levenshtein dist.,0.79
Avg Levenshtein Ponzi,0.56
