Block,From,To,Value (ETH),Ext/Int,Date,Exchange Rate,Value (USD)
1116218,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x00,0,2016-03-08,9.48,0
1115574,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xb1a2bc2ec50000,1,2016-03-08,9.48,0
1129997,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x3635c9adc5dea00000,0,2016-03-10,11.91,11910
1129552,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x29a2241af62c0000,0,2016-03-10,11.91,36
1129545,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x1bc16d674ec80000,0,2016-03-10,11.91,24
1129474,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-10,11.91,12
1129565,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-10,11.91,12
1129936,0xb81a113d28921f1a079dafe4b2466e86b79532a0,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x0de0b6b3a7640000,0,2016-03-10,11.91,12
1129936,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x2dcbf4840eca0000,1,2016-03-10,11.91,39
1129552,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x1e87f85809dc0000,1,2016-03-10,11.91,26
1129474,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x0e92596fd6290000,1,2016-03-10,11.91,13
1129474,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0x0de0b6b3a7640000,1,2016-03-10,11.91,12
1129474,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x0c7d713b49da0000,1,2016-03-10,11.91,11
1129552,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x0214e8348c4f0000,1,2016-03-10,11.91,2
1129545,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0x016345785d8a0000,1,2016-03-10,11.91,1
1129565,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
1129936,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x5ad48d8917b5e3dac087f9f7bb34cfe1a0aac29c,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
1129936,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xb1a2bc2ec50000,1,2016-03-10,11.91,1
1135451,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x01158e460913d00000,0,2016-03-11,11.22,224
1134630,0x18e113d8177c691a61be785852fa5bb47aeebdaf,0xf45717552f12ef7cb65e95476f217ea008167ae3,0x8ac7230489e80000,0,2016-03-11,11.22,112
