User,Address,USD Ext,USD Int,Balance,Gain,Loss,
147,0x366798e218451958bb1a1abe19fb138ef71baa41,$12.57,$0.00,$12.57,0,13,-$12.57
202,0x24f13deadf1c355b77868be9d9d2d97695214d06,$12.57,$0.00,$12.57,0,13,-$12.57
168,0xc85321257521d7e296d16197032188dbc61f84ac,$12.31,$0.00,$12.31,0,12,-$12.31
310,0x6ed88e197d6a875fea59a07c0bb1a035f0e84b4e,$12.31,$0.00,$12.31,0,12,-$12.31
23,0xfd5ff05cb15b2e8cddd0e96912a5dee8044b9374,$12.11,$0.00,$12.11,0,12,-$12.11
55,0x2243c249d140ac2048b6c6fe26c5d82fa93aed27,$11.91,$0.00,$11.91,0,12,-$11.91
79,0x26e0c2bb74ad5623115decf76ae81fe21bee0d48,$11.91,$0.00,$11.91,0,12,-$11.91
233,0xeb27e888263fe8b2bdec351addadce7b98b4ed1f,$11.91,$0.00,$11.91,0,12,-$11.91
76,0x1d4dad868292bfe796dc7bfa364ef1eef07ed061,$11.80,$0.00,$11.80,0,12,-$11.80
238,0xe466d6e2daca0be1dd804c5ed6fce5379d0d6669,$23.38,$11.69,$11.69,0,12,-$11.69
267,0x3bb78d3623f2e4ec4cad3f72d5889bb93d510b01,$11.66,$0.00,$11.66,0,12,-$11.66
213,0xd0095f46e49f8770fe728ab2fb6e7c60f27f870b,$11.64,$0.00,$11.64,0,12,-$11.64
312,0xa951be235a8c9199d0bbe147e4678d817f31b2b2,$11.58,$0.00,$11.58,0,12,-$11.58
39,0xd317892e2db9bb456d2b3b2ccdff8f7e63bf70e6,$11.55,$0.00,$11.55,0,12,-$11.55
63,0x1812572010a43a5284653fa965f4f31eff382a23,$34.65,$23.10,$11.55,0,12,-$11.55
206,0x475ace67cd7cc00668238c0a9839f0de7f2b7fe0,$11.48,$0.00,$11.48,0,11,-$11.48
28,0x65a09cbb996742c83c51e704964ac1aa0bf11339,$11.43,$0.00,$11.43,0,11,-$11.43
166,0x109976ec334c241e2554a46dcbfadd0021fae342,$11.30,$0.00,$11.30,0,11,-$11.30
129,0x4ba01382fa7d204a69320dd9ef947b6cba5eb946,$11.27,$0.00,$11.27,0,11,-$11.27
144,0xfd48ebbfa24cbafedbb2525f9827d92e369ea414,$11.27,$0.00,$11.27,0,11,-$11.27
184,0xa46b7974f4f43af50e9c4795251303d7066ed67f,$11.27,$0.00,$11.27,0,11,-$11.27
114,0x11f6f55cc1face40512b07df8b92e4993f35dd19,$11.26,$0.00,$11.26,0,11,-$11.26
173,0xeb81b8e66b2e4a9768924c5cb63445b91b0108c7,$11.22,$0.00,$11.22,0,11,-$11.22
271,0xaf1ea7e4588224ef56e8eb9f4ac3aa76c6774a13,$11.22,$0.00,$11.22,0,11,-$11.22
316,0xb3c3e20312ded30a651ce746cde0534dc0433604,$11.09,$0.00,$11.09,0,11,-$11.09
128,0xb16cc50ec5d9d200ee5adb633fd702d78563e508,$11.02,$0.00,$11.02,0,11,-$11.02
260,0x2eff8279a7cf8c58f7262a7bd4557b7768e7d47f,$11.02,$0.00,$11.02,0,11,-$11.02
287,0xf4a888324ab1cfdf1ee9b1c4f271c259e9b9fb62,$11.02,$0.00,$11.02,0,11,-$11.02
21,0xc1c92c70ff719ef4ab7762283160e72f9b81ff3d,$10.96,$0.00,$10.96,0,11,-$10.96
67,0x30fab7dc42345904051621166a0369a2ee9aa7d1,$10.96,$0.00,$10.96,0,11,-$10.96
146,0xe29231bdeedf88fd5be163f98e1d4bf9608d7898,$10.96,$0.00,$10.96,0,11,-$10.96
148,0xda2beaa43bc1f9e122f6b9f8925fa2c9324a43ef,$10.88,$0.00,$10.88,0,11,-$10.88
281,0x2420bf33679c3c3241282c041cdcd56fece29cb9,$10.88,$0.00,$10.88,0,11,-$10.88
244,0x7f3e6c60bc9ab8be802b892934dc3a8849c35055,$10.70,$0.00,$10.70,0,11,-$10.70
276,0x2edd12085fd05c990f9dbd74b152c8d5bb8d2aa8,$10.67,$0.00,$10.67,0,11,-$10.67
125,0x81c19f8c313b88e0e0dffe8ebfa15b3e361432b3,$10.42,$0.00,$10.42,0,10,-$10.42
253,0xfc6f92f1c60cf9316d86cc33228907e7855b5f0a,$10.42,$0.00,$10.42,0,10,-$10.42
50,0x71b0ade0f4976c4c6690554231dc6d437d5e3560,$10.41,$0.00,$10.41,0,10,-$10.41
87,0x5b3bddaa5a3e14a31be29070dea47603ab030269,$10.41,$0.00,$10.41,0,10,-$10.41
283,0x417beec8a935207cb7a87fe929266b16aab951a7,$10.40,$0.00,$10.40,0,10,-$10.40
255,0xe60c6154c3a2f3e9ca9032f5c044da34ea84c4a7,$10.12,$0.00,$10.12,0,10,-$10.12
68,0x655d6631871b852ebc6b0359e7f40b86912eed88,$10.11,$0.00,$10.11,0,10,-$10.11
74,0x8e4ca43628e53c8540fc54b25e2acb8be5f86e5f,$10.11,$0.00,$10.11,0,10,-$10.11
155,0x0fd13007da54162afad661ebe26716cd182cc3d6,$10.11,$0.00,$10.11,0,10,-$10.11
175,0x321cfd79a56fb709d9e4280f790d6cada0950b14,$10.10,$0.00,$10.10,0,10,-$10.10
151,0x6e5d5bb27ccd49ecf2e0010595be8667722135f1,$10.00,$0.00,$10.00,0,10,-$10.00
181,0xba4b8bbc68a2e92bf6847cac60b0f6729c68ed24,$10.00,$0.00,$10.00,0,10,-$10.00
321,0x360f4ea7effa200c9eab27ad115be2aa616144fd,$10.00,$0.00,$10.00,0,10,-$10.00
9,0xb45e9a03da7432f3aa39027629242b0eb320187b,$9.74,$0.00,$9.74,0,10,-$9.74
81,0xbd4073a0d55cfe1d58dcb1643da1d53a7382c3f7,$9.74,$0.00,$9.74,0,10,-$9.74
245,0x88aa96de94e51d1d00001988e6865c3f49bbe34b,$9.66,$0.00,$9.66,0,10,-$9.66
145,0x389b4950318896f0268cbd97bd985efc88172e44,$9.58,$0.00,$9.58,0,10,-$9.58
304,0xa43d2b0aad0aebf2a06be7b6d344f82dda2406a8,$9.50,$0.00,$9.50,0,10,-$9.50
30,0x25d0668e2c0011220223e4bc311c242117c3d5a0,$9.48,$0.00,$9.48,0,9,-$9.48
314,0x30248d58e414b20fed3a6c482b59d9d8f5a4b7e2,$9.48,$0.00,$9.48,0,9,-$9.48
226,0x9ff86d2aae69f02a71ebf6366a88e61e2311d966,$9.43,$0.00,$9.43,0,9,-$9.43
57,0x8cd0d7f75f84826a69820ba02843730b47712751,$9.39,$0.00,$9.39,0,9,-$9.39
7,0x502a8a5b6115255ac47f8af1e475a6049a578d88,$9.30,$0.00,$9.30,0,9,-$9.30
52,0xb2a2b8b9100b096648d39ac10c54f2bb4c970f00,$9.07,$0.00,$9.07,0,9,-$9.07
62,0x920f4a78838c5a4ca37ef1464c1d006d57b46f87,$9.07,$0.00,$9.07,0,9,-$9.07
103,0x37ff50b0c5ad676e75f637afb5513f06a734d248,$8.44,$0.00,$8.44,0,8,-$8.44
131,0xbd9a36c784fe806432a780c4db0c229b84324182,$8.44,$0.00,$8.44,0,8,-$8.44
242,0x0af82129dac1b2cfd729f59e36e1b00e9613436e,$8.44,$0.00,$8.44,0,8,-$8.44
222,0xe2d560cc321a4e09e182693d45a3836ffd27a1bd,$8.38,$0.00,$8.38,0,8,-$8.38
56,0x1cf16588ce2a59b3a0b36b35a58ed75950ed2340,$8.31,$0.00,$8.31,0,8,-$8.31
216,0x1a6739f6d169f8cbe7407f02ed3b24471038838d,$8.17,$0.00,$8.17,0,8,-$8.17
45,0x4c8c0bec34bc5e77faff1c552b928807b30178cf,$11.91,$3.97,$7.94,0,8,-$7.94
296,0x076fa665af79b9f656f0ac37e153601f294f8a8c,$7.65,$0.00,$7.65,0,8,-$7.65
200,0x857bcdd0cc857875590c526245bf827d6dcc8947,$7.62,$0.00,$7.62,0,8,-$7.62
135,0x9ad5aa38079b09d3b9ffa80d8b2e9a0cc6cd3923,$11.78,$4.28,$7.50,0,8,-$7.50
152,0x36730b56b0820fff559b9138eb3428a176cf66b1,$7.48,$0.00,$7.48,0,7,-$7.48
187,0x55ab5fe38b4e0b88a0767ed0f979f2c448217f46,$7.48,$0.00,$7.48,0,7,-$7.48
208,0x5aa31b570e584193ea5e1a7ba37e62946f1f2850,$6.19,$0.00,$6.19,0,6,-$6.19
149,0x7ade4d0104261c6b1a70c22c2b0dc40c6e7ed551,$6.13,$0.00,$6.13,0,6,-$6.13
192,0xe3e14f6eb4cf34db27f528dace98bfcc9a9f8ae7,$6.13,$0.00,$6.13,0,6,-$6.13
214,0xab6a6d097388bf1f915ead74ce58f6ad344d6e12,$6.13,$0.00,$6.13,0,6,-$6.13
300,0x8b058897df45bdd7545956c42aaba75679de74c8,$6.13,$0.00,$6.13,0,6,-$6.13
295,0x6aee5ab43e6df64519b560a64c3dfc4aaeee13da,$6.09,$0.00,$6.09,0,6,-$6.09
2,0xef7342feed31ab32a7047d5819a6a51c59ed777d,$6.08,$0.00,$6.08,0,6,-$6.08
25,0x00fe94475832227c0e40d3c2a4599d24e53d3819,$6.08,$0.00,$6.08,0,6,-$6.08
38,0x2e54882c6d296c1ea9d85c8676b9cc4d9ae3a7d0,$6.08,$0.00,$6.08,0,6,-$6.08
78,0x7e59c7661b67e4373c20d2cc6c462cdcc0d42cb4,$6.08,$0.00,$6.08,0,6,-$6.08
140,0xfa89115481a0f8526bc931376a00184722f9a4c0,$6.08,$0.00,$6.08,0,6,-$6.08
186,0xcb06bd4c36953558b48985d6bfe5f7c3f886d80e,$6.08,$0.00,$6.08,0,6,-$6.08
262,0xd8d8de5f679e0d0b4cbe82f16e6a84bf5369b67e,$6.08,$0.00,$6.08,0,6,-$6.08
4,0x5de5f0b80705c7bfaeed5d331d0fe6c21ffe2b2c,$5.95,$0.00,$5.95,0,6,-$5.95
153,0x3f246d052a3f0490cce425665142dc137690714b,$5.95,$0.00,$5.95,0,6,-$5.95
161,0x6b9172396f0a56c29c2e8e79fe0f38af9acecdb7,$5.93,$0.00,$5.93,0,6,-$5.93
272,0x075aa9bb4b79d4021a34b278fd386e47838b8f28,$5.75,$0.00,$5.75,0,6,-$5.75
273,0x4e8e47ae3b1ef50c9d54a38e14208c1abd3603c2,$5.75,$0.00,$5.75,0,6,-$5.75
113,0x658478a7ac36c2017414aa65269337d98a611875,$5.74,$0.00,$5.74,0,6,-$5.74
117,0x32a44a0d796644840695dd4fd1cc37c56875984a,$5.74,$0.00,$5.74,0,6,-$5.74
176,0x04aab93d7d1f4e313b4704339a9f42cbd54406f1,$5.51,$0.00,$5.51,0,6,-$5.51
268,0x30e5ae56a83f4cc5c3003988a6d05b085914ada1,$5.51,$0.00,$5.51,0,6,-$5.51
258,0xb2afec1da55c15ad57b3310f9008c47f4e028de3,$5.09,$0.00,$5.09,0,5,-$5.09
40,0x5cc0e43086ef1b82cd7da0256f30b45924eda4b5,$5.02,$0.00,$5.02,0,5,-$5.02
22,0xf63bb6ba31be9860057aeb4f8a4b4e126b728acf,$5.01,$0.00,$5.01,0,5,-$5.01
293,0x98dfff21670605be6e56d7e6386a0e6ca6f92472,$4.91,$0.00,$4.91,0,5,-$4.91
185,0xe9f92a3abc4c0abbc308f75e3f42acc408042dd4,$4.88,$0.00,$4.88,0,5,-$4.88
254,0xe78462d5716a399e468777ebce32e466cbf43e15,$4.71,$0.00,$4.71,0,5,-$4.71
256,0xefef751bee6fd46df762d9aed389a6c73b8c796c,$4.71,$0.00,$4.71,0,5,-$4.71
292,0xed785c79176b55611187e160c3c19b4768833cc4,$4.71,$0.00,$4.71,0,5,-$4.71
8,0x65f6da05bb8b9c63b96a02f8a08962022a52478d,$4.43,$0.00,$4.43,0,4,-$4.43
27,0x08524f3953448943245c3a69bbca4256de6ad85a,$4.43,$0.00,$4.43,0,4,-$4.43
91,0x18a147a5803edf3b6321688978b9bd3fea9daa4a,$4.43,$0.00,$4.43,0,4,-$4.43
115,0xa23cf90bae40c2ae0ec7aca9317c44fbf8b0597d,$44.30,$39.87,$4.43,0,4,-$4.43
137,0x0fb0d7bbe80b8eec72cb836eacb13690780ab98d,$4.43,$0.00,$4.43,0,4,-$4.43
165,0x4f9616d20075943727deca4237f88d8002129e1a,$4.43,$0.00,$4.43,0,4,-$4.43
207,0xa4b3c6cecd4e5d65c0e0f7ca173076d41bfd4634,$4.43,$0.00,$4.43,0,4,-$4.43
47,0x3ba2a0489b291c457b134ce464af37917d7a705b,$4.37,$0.00,$4.37,0,4,-$4.37
112,0x0fdd00768f47d1d0969ac1ec4c4ad03e117ab091,$4.37,$0.00,$4.37,0,4,-$4.37
195,0xb3e3429824d31ba87edea73fac823a67f44c6015,$4.37,$0.00,$4.37,0,4,-$4.37
205,0x3a5625c02051f7d2af4573029b231bd0e926bdb9,$4.37,$0.00,$4.37,0,4,-$4.37
234,0x49b7bd36552d657565a23d5b0e9496b327a2e338,$4.37,$0.00,$4.37,0,4,-$4.37
142,0xc4ccddfbf1bbd449f9fe4b30aba354163b442a1e,$4.29,$0.00,$4.29,0,4,-$4.29
174,0xf2e767bea51b1a8fc4b6ced82ba4ab0de166ec2c,$4.29,$0.00,$4.29,0,4,-$4.29
290,0x87ccf5f3ffc82577560d8746c8fc29d858d8586b,$8.58,$4.29,$4.29,0,4,-$4.29
211,0x2d11763b4999fb3b61ca8d19c8c77a743079f7bd,$7.40,$3.38,$4.03,0,4,-$4.03
26,0x172ab98c21fcf4b729b4641994d49c5cd540f2e7,$3.97,$0.00,$3.97,0,4,-$3.97
123,0x9103b79a215949ad026fb60dcd51b119f7425b71,$3.97,$0.00,$3.97,0,4,-$3.97
248,0x3a400429118dcac9c3f3c9e44543508bcf494c35,$3.97,$0.00,$3.97,0,4,-$3.97
259,0x967a4bf5434b44d154c5b1d089ec73a30fd8b3c9,$7.94,$3.97,$3.97,0,4,-$3.97
143,0x991c5b56fffb2e45444b5fc5be9304ac9576849b,$3.96,$0.00,$3.96,0,4,-$3.96
320,0x22982da02f22d7f5f8eabda2143948600bb814f0,$3.66,$0.00,$3.66,0,4,-$3.66
289,0x5b19489c475178e68b7240563509a17ef7a77ebd,$3.65,$0.00,$3.65,0,4,-$3.65
5,0x6cf07de7de03c6a0c5fae20f46285988c345119a,$3.61,$0.00,$3.61,0,4,-$3.61
19,0x4e25bdf952a83ea9e47efac7b1a72913959e61f9,$3.61,$0.00,$3.61,0,4,-$3.61
219,0x725e6bdfb8acd866b9214c8e1c9197f8473d3a48,$3.61,$0.00,$3.61,0,4,-$3.61
133,0x8081ca5c81f4e8fb5017e0db5b9e8cdf406028cf,$3.19,$0.00,$3.19,0,3,-$3.19
179,0xe6964adf8fb88a1228b009575ece7cba5fe246e9,$3.19,$0.00,$3.19,0,3,-$3.19
119,0xd1ece712220eef6db22ca8ad1d1cd216470b9915,$2.79,$0.00,$2.79,0,3,-$2.79
105,0xa5d8d3fcfb9f78df135a0644b43e02b102e2f9f8,$2.57,$0.00,$2.57,0,3,-$2.57
263,0x64589e97f7b3ed412d89daf98839abb080416cf1,$2.57,$0.00,$2.57,0,3,-$2.57
285,0x033788f624801224657a62d62905662b77e54b8a,$2.57,$0.00,$2.57,0,3,-$2.57
33,0x02ba341de5ef7646862f39658b46dd4cb8695957,$2.55,$0.00,$2.55,0,3,-$2.55
178,0xbdc793552b29f9ef8b84b754da9253d489fd851f,$2.55,$0.00,$2.55,0,3,-$2.55
318,0x704819d2e44d6ed1da25bfce84c49fcca25613e5,$2.55,$0.00,$2.55,0,3,-$2.55
122,0x14fe35da76813c02d2ce9a068afb2b56bba6bafc,$2.52,$0.00,$2.52,0,3,-$2.52
36,0x00006314ee6ba5a9421e4aa6a47c6867a882bd92,$2.50,$0.00,$2.50,0,3,-$2.50
130,0x9ec6e8a04b86017599300acac8cf8c9fa73d002e,$2.50,$0.00,$2.50,0,3,-$2.50
48,0x7d6b9978def0be00165eab70945c919881f23575,$2.47,$0.00,$2.47,0,2,-$2.47
266,0x3ada18880f058a278d05a3f05c7ca60a491de7a4,$2.47,$0.00,$2.47,0,2,-$2.47
297,0x610821723ac6726cbcec2037c83743dfbdada663,$2.47,$0.00,$2.47,0,2,-$2.47
325,0xcb5db0811d196c246ff7a340d6f3f92a3925862f,$2.47,$0.00,$2.47,0,2,-$2.47
164,0x5de92686587b10cd47e03b71f2e2350606fcaf14,$2.44,$0.00,$2.44,0,2,-$2.44
203,0x42f1f0bfe6535b9851c719fb4f4fea37c16a55ff,$2.44,$0.00,$2.44,0,2,-$2.44
241,0x6650ad6fac22b60073e851428666c402f5a9fb8c,$2.44,$0.00,$2.44,0,2,-$2.44
280,0xf977dafe79132bde0ac2dc28c4adc31c754ab8ed,$2.21,$0.00,$2.21,0,2,-$2.21
319,0x7875839110acd222fe76fd5f3ab2f7bb07e80978,$2.16,$0.00,$2.16,0,2,-$2.16
121,0xf29477137e60fc847e6857c8ae55234e16555c5e,$2.02,$0.00,$2.02,0,2,-$2.02
154,0xde9a7ffd1e8fbdaea1e71466b82b09334816be60,$1.70,$0.00,$1.70,0,2,-$1.70
307,0x93292a5026dc7afae9a82169fea2aaa73878251b,$1.21,$0.00,$1.21,0,1,-$1.21
317,0xbc93528f85d2ad982083c4cc5e377ef77c36ee18,$1.20,$0.00,$1.20,0,1,-$1.20
197,0xd1592f85d837058ebe3cb2b172c78d1ea76ae3de,$1.00,$0.00,$1.00,0,1,-$1.00
1,0x253a78891f84310e78969b4751b4bcc1a11db63b,$0.99,$0.00,$0.99,0,1,-$0.99
294,0xc5f65f7ba2cb76dd76da3e7ba1122516eeba8f1b,$0.95,$0.00,$0.95,0,1,-$0.95
199,0x821399fba58ca66f15e4440d54392b355d592dcb,$0.92,$0.00,$0.92,0,1,-$0.92
249,0xd7bf4d5b179d3a08fa7b5d9eab6b9f0789a903d8,$0.92,$0.00,$0.92,0,1,-$0.92
84,0x3fa42f8e21421fa0736351cac91044491cd7bf09,$0.90,$0.00,$0.90,0,1,-$0.90
230,0x68d251213b820400ff83a7d07f89e054ad013314,$0.90,$0.00,$0.90,0,1,-$0.90
6,0x32be343b94f860124dc4fee278fdcbd38c102d88,$15.21,$15.21,$0.00,0,0,$0.00
20,0x08fe986e830cf4d30500fc0ceb8fe65eb7ee58b7,$0.00,$0.00,$0.00,0,0,$0.00
72,0x35b2e0d1314600c148b37721b3736bae897bc430,$0.23,$0.23,$0.00,0,0,$0.00
85,0x9c14c9b23a78726d0b17a02df49c8b884f57a3c4,$4.00,$4.00,$0.00,0,0,$0.00
94,0xd9b9fc23c8dd9986446695f7de37671db71c9dee,$2.99,$2.99,$0.00,0,0,$0.00
102,0xc469e0161968f12a38e4c1a1c153a18207e040c8,$0.00,$0.00,$0.00,0,0,$0.00
231,0x20560732becaba74966ab67c2ec241b34f7e4957,$0.96,$0.96,$0.00,0,0,$0.00
136,0xa0a0a0b103ba93526131d5f58f1b6b7e2c160a54,$2.60,$2.95,-$0.35,0,0,$0.35
160,0x00580e80c625fb7bab22eef03ddeb2e6f8657f6c,$1.25,$1.65,-$0.40,0,0,$0.40
109,0x33f36dffd23cf019833e1d59cbc7138824b12289,$1.30,$1.84,-$0.54,1,0,$0.54
279,0x63721e9f15514b888a0fc265582f9e25b39d6ca2,$16.90,$17.44,-$0.54,1,0,$0.54
127,0xff665f7d3ea1efcfd21de31ce00bc52c5cbe5575,$1.30,$1.97,-$0.67,1,0,$0.67
44,0x7af34bf553440a68ccce97024f568dcd1f9ea025,$1.33,$2.30,-$0.98,1,0,$0.98
120,0xaf078ae030266ad29c156ed6e57fee912f90745c,$1.32,$2.35,-$1.03,1,0,$1.03
138,0x94050f23a757023992ac79b7f72c069dc5a83784,$3.75,$4.91,-$1.16,1,0,$1.16
82,0xdd5958b3bbea3ef9921158e897f3480497783cf7,$1.32,$2.59,-$1.27,1,0,$1.27
224,0x9e0afd592b1e40bee26816e360f02eebf04ad74b,$1.32,$2.59,-$1.27,1,0,$1.27
274,0x1406854d149e081ac09cb4ca560da463f3123059,$1.32,$2.59,-$1.27,1,0,$1.27
303,0x957523c697993cb24fcf75efbce4f228325e7383,$1.32,$2.59,-$1.27,1,0,$1.27
308,0x5c1653cb464dbbe53972ccad9e6044c9a82b0242,$1.32,$2.59,-$1.27,1,0,$1.27
227,0x3f690585eac48266167c9e6271bd8feddc2d37d7,$0.96,$2.24,-$1.28,1,0,$1.28
41,0x71e3c9097edd8cf3b3136cdc2eb69ce2cec80f02,$1.07,$2.40,-$1.33,1,0,$1.33
156,0x9af084c559597c65417d817075c037a0cba22a29,$1.07,$2.43,-$1.36,1,0,$1.36
188,0xa7a4683429c057ec687fc4ddd515b08e52f22f40,$0.96,$2.43,-$1.47,1,0,$1.47
17,0x475351efe1d9cf36276ff2b7ae1d38bdb072e22c,$1.32,$2.89,-$1.57,2,0,$1.57
270,0x5d1d36555752b215cfdb6a92995f5bf0e16f5ea6,$1.32,$2.89,-$1.57,2,0,$1.57
217,0x3093f17adadeadafc2e2179275b49bf16dc53148,$0.96,$2.57,-$1.61,2,0,$1.61
257,0x1049cb6c4223942bb3ed14e47b27c7478449deb2,$1.07,$2.70,-$1.63,2,0,$1.63
286,0x687080413c44e120210a476bb3b6709d6dc259e1,$1.16,$2.84,-$1.68,2,0,$1.68
212,0x5d3a874079045c21592b3f4c69d1c466b0342b07,$0.96,$2.70,-$1.74,2,0,$1.74
