User,Address,USD Ext,USD Int,Balance,Gain,Loss,
158,0xc43f587c7434ac09b0ae999f6e2f94e7f505b0e3,$593.32,$0.00,$593.32,0,593,-$593.32
277,0x11211705f28f14517d791f509d058cf74b9fb720,$742.00,$302.08,$439.92,0,440,-$439.92
172,0xe91e063ac7e9f921ee8a54c91be05172c8f06ec9,$335.90,$72.66,$263.24,0,263,-$263.24
107,0xaedd675607520b203a0216e38f3b5b440b8d901c,$248.32,$0.00,$248.32,0,248,-$248.32
193,0xa10997473c58274cf47f581fe61d56c3cb30a678,$99.46,$0.00,$99.46,0,99,-$99.46
282,0xd250a3985cc0ce2054027479ce280ae88e150af0,$87.80,$0.00,$87.80,0,88,-$87.80
150,0x7002427859f0d743e27019d2d05a6cd344fc5213,$57.17,$0.00,$57.17,0,57,-$57.17
278,0x6cebfb928f09afea77a627fbc716f446b0d2f667,$51.99,$0.00,$51.99,0,52,-$51.99
171,0xd7bdd310f6e63c336911183e3d833154513b9195,$51.91,$0.00,$51.91,0,52,-$51.91
31,0x26a114a4419316998cd099062c44d386366e8050,$50.79,$0.00,$50.79,0,51,-$50.79
99,0xbe1f4a662fbd97cb87fc4b89ab933b42389f550d,$43.24,$0.00,$43.24,0,43,-$43.24
96,0x8261d5f607e2b4488b52141032dc081e16e061da,$98.95,$55.76,$43.20,0,43,-$43.20
98,0xafd7f90da4302b143612d44034e8a5e8c2fd2c0d,$40.93,$0.00,$40.93,0,41,-$40.93
24,0xfc676e987e5f6df0b1fd1bfd4f71a7e947da670b,$37.02,$0.00,$37.02,0,37,-$37.02
261,0x51d3709a8f6a926352aafadf662b83772465f801,$30.95,$0.00,$30.95,0,31,-$30.95
299,0x91a4149a2c7b1b3a67ea28aff34725e0bf8d7524,$30.95,$0.00,$30.95,0,31,-$30.95
46,0x52c6b42c37818ee7d562b52396685710b19801ec,$29.34,$0.00,$29.34,0,29,-$29.34
66,0x0dc9e1e8b5ab0fa6fff5a0dcccf3c11e9dedf014,$29.16,$0.00,$29.16,0,29,-$29.16
298,0xb5ce8286f594340350eb9160121dcab021b53603,$26.31,$0.00,$26.31,0,26,-$26.31
236,0xc00a1532e00e1199b141e1b2007ee97496198912,$25.76,$0.00,$25.76,0,26,-$25.76
167,0x3067ae0e3e300747d97b1e8659b84063dd31f7c3,$25.40,$0.00,$25.40,0,25,-$25.40
228,0xf9f6689e2935a4b9d08ea6809a58f95eb616626e,$24.68,$0.00,$24.68,0,25,-$24.68
251,0x3ea3c04f05bf8e1b824077c004de87c7767dbeec,$27.43,$4.43,$23.00,0,23,-$23.00
3,0xcd2680717261f91439e1ff42c8a0fdc0364700cb,$21.76,$0.00,$21.76,0,22,-$21.76
88,0x0331e6d23b19ef53f348075255816b6bcbd9da1e,$59.10,$38.15,$20.95,0,21,-$20.95
65,0xbe1f2ac71a9703275a4d3ea01a340f378c931740,$26.72,$7.08,$19.64,0,20,-$19.64
240,0x35d657dac2291fb84e9e07fb03d08253aaea0541,$19.41,$0.00,$19.41,0,19,-$19.41
34,0xc168a39a8068c42a650e944ebfab87bfa4b1434b,$19.22,$0.00,$19.22,0,19,-$19.22
239,0x2aea6d8cade3664962c2072ef33607bd64f3aeec,$18.64,$0.00,$18.64,0,19,-$18.64
64,0x412b8ff70dc878764256365cd6030189f8fdd794,$18.46,$0.00,$18.46,0,18,-$18.46
229,0xae0e7c986cbb7492645919b7a21a5e78ccde8f71,$17.80,$0.00,$17.80,0,18,-$17.80
90,0x0d04ddb175bdb2838b18a5b9f84952345e5fb87e,$17.72,$0.00,$17.72,0,18,-$17.72
69,0x27fd4b19cb8376d219661b0f20eafba34d39cc5e,$17.60,$0.00,$17.60,0,18,-$17.60
95,0xf38019e9834d25914ce1c607cfc69475d4b1b794,$17.54,$0.00,$17.54,0,18,-$17.54
73,0x041d601452f80039aa3c7290b6c9d2a42dd4744f,$15.65,$0.00,$15.65,0,16,-$15.65
246,0xf9da1908cc2280578b2639e3a4576dc77624868b,$15.65,$0.00,$15.65,0,16,-$15.65
265,0x30b9a85755d75b250f36909f8d8ab8e3bcc3e8b0,$15.60,$0.00,$15.60,0,16,-$15.60
264,0x3ada0235001b0aa73bddafbf0c1a7bbdf8386646,$14.45,$0.00,$14.45,0,14,-$14.45
89,0xcb3e0ca6ad5126030eb9493f20336fe47e803616,$14.44,$0.00,$14.44,0,14,-$14.44
106,0x6ad2e919d9d57a82958e8684c7c613b7dddee490,$14.17,$0.00,$14.17,0,14,-$14.17
132,0x126b5759b4358f0186568e48ef5cd65b5679d102,$14.17,$0.00,$14.17,0,14,-$14.17
134,0xa917dc82165e53367c0366367b501aec7105bb89,$14.17,$0.00,$14.17,0,14,-$14.17
252,0x3884a3e02b7e32642b564587f05ec1ac270560f0,$14.17,$0.00,$14.17,0,14,-$14.17
302,0x41dd29c9bd7253d38b08d70abac6e810c8292d55,$14.17,$0.00,$14.17,0,14,-$14.17
75,0x604bdd22082d5e3a90c29a69f49b86b5e302cab7,$14.11,$0.00,$14.11,0,14,-$14.11
118,0xaea61a07ee0283952be14aac6d8855d771412658,$13.98,$0.00,$13.98,0,14,-$13.98
61,0x615ca3735edd3a76310dac6f8e0ceaa0c0d5e4b5,$13.55,$0.00,$13.55,0,14,-$13.55
169,0x1677e264405ca841e6e5ff0c0e821c4991d6cf2a,$13.51,$0.00,$13.51,0,14,-$13.51
189,0x14ff8fdcc750493beb3081803f859088d569fe25,$13.51,$0.00,$13.51,0,14,-$13.51
191,0x2221ae9928172107d610ae8bd6bc76a95009cd23,$13.51,$0.00,$13.51,0,14,-$13.51
327,0xb7def8776f171d4593723c6306614caf594f795b,$13.51,$0.00,$13.51,0,14,-$13.51
275,0x7d38c9d5f806e25422e75412ea9209c2a5a919ec,$13.02,$0.00,$13.02,0,13,-$13.02
315,0x310a59b5443cf2c9707cdadca0c170d177cf184e,$13.02,$0.00,$13.02,0,13,-$13.02
180,0x7e5015babb915d10ecdbfe49c110d4281ec8dcc5,$12.95,$0.00,$12.95,0,13,-$12.95
29,0xbb55b4470d45067ba287f6ddc54da913fe666e8b,$12.88,$0.00,$12.88,0,13,-$12.88
111,0x0ffdc0f71dc2aa4b8394097fe225d616ccef9be2,$12.82,$0.00,$12.82,0,13,-$12.82
15,0xf7e76b7362cd6f2e1a2614b9ff5e38a0f754a501,$12.70,$0.00,$12.70,0,13,-$12.70
93,0xa1681738dd4d847da8b8bf35ea9335a1680ca8df,$12.70,$0.00,$12.70,0,13,-$12.70
