Id,Name,Date 1st Tx,Date last Tx,Lifetime
119,MultiplyX10,2016-04-15,2016-04-15,0
120,EthVenturesFinal2,2016-04-08,2016-04-08,0
121,Ai,2016-05-02,2016-05-02,0
122,CrazyEarning,2016-04-05,2016-04-05,0
123,FastRealisticPyramid2,2016-03-29,2016-03-29,0
124,NotAnotherPonzi,2016-04-04,2016-04-04,0
125,NiceGuyPonzi2,2016-04-06,2016-04-06,0
126,X15,2016-02-19,2016-02-19,0
127,Doubler1,2016-08-03,2016-08-03,0
128,squareRootPonzi,2016-04-15,2016-04-15,0
129,EthVenturePlugin,2016-04-11,2016-04-11,0
130,ResetPonzi7,2016-04-06,2016-04-06,0
131,SwarmRedistribution6,2016-12-31,2016-12-31,0
132,Thewhalegame2,2016-04-09,2016-04-09,0
133,EtherAds,2016-04-17,2016-04-17,0
134,Coinflip,2016-04-09,2016-04-09,0
135,ResetPonzi4,2016-04-06,2016-04-06,0
136,ResetPonzi9,2016-04-06,2016-04-06,0
137,NiceGuyTax1,2016-04-09,2016-04-09,0
138,ResetPonzi6,2016-04-06,2016-04-06,0
139,LittleEthereumDoubler,2016-04-28,2016-04-28,0
140,ProtectTheCastle1,2016-04-20,2016-04-20,0
141,SwarmRedistribution4,2016-12-31,2016-12-31,0
142,NiceGuyTax3,2016-04-09,2016-04-09,0
143,x15,2016-04-05,2016-04-05,0
144,NanoPyramid1,2016-04-16,2016-04-16,0
145,BigRisk1,2016-07-25,2016-07-25,0
146,PlusOnePonzi2,2016-04-05,2016-04-05,0
147,Copypaste,2016-04-07,2016-04-07,0
148,NiceGuyPonzi1,2016-04-06,2016-04-06,0
149,ResetPonzi5,2016-04-06,2016-04-06,0
150,SwarmRedistribution5,2016-12-31,2016-12-31,0
151,SwarmRedistribution3,2017-01-01,2017-01-01,0
152,NiceGuyTax2,2016-04-09,2016-04-09,0
,,,,369.5
